Date,Event,Category,Position,Best_Lap_or_Time,Source
2024-09-08,Copa de Catalunya Enduro,Elite,1st,02:45:32,ciclisme.cat / event result
2024-03-24,Copa de España Enduro,Elite,1st,03:12:18,RFEC / ciclisme.cat
2024-03-15,Campeonato Catalunya,Elite,3rd,02:58:44,ciclisme.cat
2024-02-20,Copa Catalunya Enduro,Elite,1st,02:41:09,ciclisme.cat
2025-03-09,XXXI Gran Premio Maxxis - Sant Andreu de la Barca (Final),Cadete,5th (Final),00:58.86,ciclisme.cat / PDF (Final)
2025-03-09,XXXI Gran Premio Maxxis - Sant Andreu de la Barca (Qualifier),Cadete,46th (Qualifier),01:00.96,ciclisme.cat / PDF (Qualificatoria)
2025-03-23,EnduBítem (7è EnduBítem),Cadete,1st,,endubitem.bike / RFEC article (winner confirmed)
2024-11-10,Copa Catalana Enduro Season closing (Gavarres Gravity),Cadete,Season Champion,,ciclisme.cat (closing booklet)
2024-08-04,Mordoride DH,U17 Homme,6th,03:33.267,ciclisme.cat (PDF)
2024-05-05,Super Enduro Arfa (Copa de España / Copa Catalana),Cadete,15th,18:08.54,ciclisme.cat (PDF)
2025-05-25,Montefaro Enduro Race (season finale),Cadete,1st,,my.raceresult / RFEC classification (Montefaro)
2025-03-16,Reino de los Mallos Enduro MTB Race,Absolute/Elite,2nd,00:14:10,RFEC / sportmaniacs
2025-04-13,V Enduro Monte Castelo Burela,Elite/Absolute,1st,13:20.64,RFEC / my.raceresult
2024-02-25,Copa de España DH - Otívar,Cadete,9th,03:11.53,RFEC PDF (Otívar)
2024-03-10,XXX Gran Premio Maxxis - Sant Andreu de la Barca (2024 edition),Cadete,8th,02:14.54,RFEC / ciclisme.cat (Sant Andreu 10/03/2024)
2025-??-??,Copa de España BTT Enduro – Final classification (season 2025),Cadete,1st (Overall),975 pts (season total),RFEC final classification (2025 season)
2025-??-??,Copa de España BTT Descenso – Final classification (season 2025),Cadete,21st (Overall),148 pts (season total),RFEC final classification (2025 season)
2024-??-??,Ranking BTT DHI RFEC (2024 season),Cadete,20th (Overall),87 pts (season total),RFEC rankings (2024)
2024-??-??,Ranking BTT Enduro RFEC (2024 season),Cadete,43rd (Overall),,RFEC rankings (2024)
